keys,hu
MAIN_THRESHOLD_LABEL,Hangerő küszöb 
MAIN_THRESHOLD_TOOLTIP,Avatárreakció hangereje
MAIN_LOUDNESS_LABEL,Erősítés
MAIN_LOUDNESS_TOOLTIP,Mikrofon hangjának erősítése
MAIN_PROFILE_PLACEHOLDER,[Profil név]
MAIN_INPUT_DEVICE_LABEL,Bemeneti eszköz 
MAIN_NEW_SCREEN_OBJECT_LABEL,Új elem létrehozása
MAIN_SHOW_MENU_LABEL,Nyomjon meg egy billentyűt a menü újbóli megnyitásához
MAIN_SYSTEM_SETTINGS_LABEL,Rendszerbeállítások 
MAIN_HIDE_MENU_BUTTON,Menü elrejtése
SETTINGS_BACK_BUTTON,Vissza
SETTINGS_FULLSCREEN_BUTTON,Teljes képernyő
SETTINGS_SAVE_BUTTON,Mentés
SETTINGS_LOAD_BUTTON,Betöltés
SETTINGS_TRANSPARENT_BACKGROUND_LABEL,Átlátszó háttér
SETTINGS_BACKGROUND_COLOR_LABEL,Háttérszín
SETTINGS_WINDOW_SIZE_LABEL,Rögzített ablakméret
SETTINGS_WINDOW_SIZE_WIDTH_LABEL,Szélesség
SETTINGS_WINDOW_SIZE_HEIGHT_LABEL,Magasság
SETTINGS_CURRENT_FPS_LABEL,Jelenlegi FPS:
SETTINGS_FPS_CAP_LABEL,FPS korlát
SETTINGS_VERSION_LABEL,Verzió:
SETTINGS_QUIT_BUTTON,Kilépés
SO_MENU_MOVE_UP_TOOLTIP,Feljebb küldés
SO_MENU_MOVE_DOWN_TOOLTIP,Lentebb küldés
SO_MENU_NAME_PLACEHOLDER,Név
SO_MENU_SETTINGS_TOOLTIP,Beállítások
SO_MENU_VISIBILITY_TOOLTIP,Megjelenítés/elrejtés
SO_MENU_AUTO_TOGGLE_TOOLTIP,Elem megjeleítése/elrejtése ha az időzítő lejár
SO_MENU_DUPLICATE_TOOLTIP,kétszerezés
SO_MENU_GIZMO_TOOLTIP,"Mozgatás, méretezés, forgatás"
SO_MENU_RECENTER_TOOLTIP,Elem középre mozgatása
SO_MENU_DELETE_TOOLTIP,Törlés
SO_SETTINGS_IMAGE_TAB,Kép
SO_SETTINGS_COLOR_TAB,Szín
SO_SETTINGS_ANIMATION_TAB,Animáció
SO_SETTINGS_MISC_TAB,Egyéb
SO_SETTINGS_MULTI_IMAGE_LABEL,Összetett avatárkép
SO_SETTINGS_MULTI_IMAGE_TOOLTIP,Több avatár-képkocka egy képben
SO_SETTINGS_AVATAR_IMAGE_LABEL,Avatar
SO_SETTINGS_AVATAR_IMAGE_TOOLTIP,avatárnak van beszélő képkockája
SO_SETTINGS_CHANGE_IMAGE_BUTTON,Kép megváltoztatása
SO_SETTINGS_NEUTRAL_IMAGE_LABEL,Semleges kép
SO_SETTINGS_NEUTRAL_IMAGE_TOOLTIP,A spritekészletben van semleges kép
SO_SETTINGS_BLINKING_IMAGE_LABEL,Pislogó kép
SO_SETTINGS_BLINKING_IMAGE_TOOLTIP,A spritekészletben van pislogó kép
SO_SETTINGS_TALKING_IMAGE_LABEL,Beszélő kép
SO_SETTINGS_TALKING_IMAGE_TOOLTIP,A spritekészletben van beszélő kép
SO_SETTINGS_TALKING_BLINKING_IMAGE_LABEL,Pislogó+Beszélő kép
SO_SETTINGS_TALKING_BLINKING_IMAGE_TOOLTIP,A spritekészletben van pislogó és beszélő kép
SO_SETTINGS_TALKING_TOGGLE_LABEL,Van beszélő kép
SO_SETTINGS_TALKING_TOGGLE_TOOLTIP,A spritekészletben van beszélő kép
SO_SETTINGS_BLINKING_TOGGLE_LABEL,Van pislogó kép
SO_SETTINGS_BLINKING_TOGGLE_TOOLTIP,A spritekészletben van pislogó kép
SO_SETTINGS_FILTER_TOGGLE_LABEL,Lineáris szűrő
SO_SETTINGS_FILTER_TOGGLE_TOOLTIP,lineáris szűrés simítja a hirtelen változásokat a képen.
SO_SETTINGS_HUE_SLIDER_LABEL,Árnyalat
SO_SETTINGS_SATURATION_SLIDER_LABEL,Telítettség
SO_SETTINGS_VALUE_SLIDER_LABEL,Fényerő
SO_SETTINGS_ANIMATION_TOGGLE_LABEL,Elem animálása
SO_SETTINGS_ANIMATION_TOGGLE_TOOLTIP,Az avatár pattog beszéd közben
SO_SETTINGS_ANIMATION_HEIGHT_LABEL,Pattogás magassága
SO_SETTINGS_ANIMATION_SPEED_LABEL,Pattogás gyorsasága
SO_SETTINGS_TIMER_TOGGLE_LABEL,Időzítő be/kikapcsolása
SO_SETTINGS_TIMER_TOGGLE_TOOLTIP,Engedélyezi az automatikus láthatóság kapcsolást
SO_SETTINGS_TIMER_DURATION_LABEL,Idő(másodperc)
SO_SETTINGS_TIMER_DURATION_TOOLTIP,Időzítő hossza másodpercben
